|||2020-03-31 16:50:00,772 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3249.49","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5224","makerOrderId":1012177389889961984,"price":"3249.49","takerOrderId":1012177390070317056,"timestamp":"1585644600736","type":"B","virtual":0,"volume":"1.1"}
|||2020-03-31 16:50:00,775 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3239.29","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5223","makerOrderId":1012177384978432000,"price":"3239.29","takerOrderId":1012177390070317056,"timestamp":"1585644600736","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:00,803 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3245.87","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5225","makerOrderId":1012177390036762624,"price":"3245.87","takerOrderId":1012177390280032256,"timestamp":"1585644600770","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:50:00,813 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3245.87","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5226","makerOrderId":1012177390036762624,"price":"3245.87","takerOrderId":1012177390359724032,"timestamp":"1585644600792","type":"B","virtual":0,"volume":"1.1"}
|||2020-03-31 16:50:00,821 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3249.49","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5227","makerOrderId":1012177389889961984,"price":"3249.49","takerOrderId":1012177390359724032,"timestamp":"1585644600792","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:01,649 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3249.49","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5228","makerOrderId":1012177389889961984,"price":"3249.49","takerOrderId":1012177394046517248,"timestamp":"1585644601636","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:50:01,651 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3258.58","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5229","makerOrderId":1012177389881573376,"price":"3258.58","takerOrderId":1012177394046517248,"timestamp":"1585644601637","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:50:01,667 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3259.56","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5230","makerOrderId":1012177385037152257,"price":"3259.56","takerOrderId":1012177394046517248,"timestamp":"1585644601637","type":"B","virtual":0,"volume":"0.6"}
|||2020-03-31 16:50:01,780 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3259.56","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5231","makerOrderId":1012177385037152257,"price":"3259.56","takerOrderId":1012177394583388160,"timestamp":"1585644601767","type":"B","virtual":0,"volume":"1.2"}
|||2020-03-31 16:50:01,789 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3285.5","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5232","makerOrderId":1012177390191951872,"price":"3285.5","takerOrderId":1012177394583388160,"timestamp":"1585644601768","type":"B","virtual":0,"volume":"0.2"}
